state_ut,district,total_crimes,risk_score,risk_label,crime_rate
CHHATTISGARH,KABIRDHAM,31029.0,0.0012135645138076257,medium,0.005701739959570182
CHHATTISGARH,KANKER,25723.0,0.001006043378409667,medium,0.004726734892520667
CHHATTISGARH,KAWARDHA,1551.0,0.00010110104315939,high,0.0002850043081405573
CHHATTISGARH,KONDAGAON,1179.0,4.611146223788039e-05,low,0.00021664737543373116
CHHATTISGARH,KORBA,62977.0,0.002463071719554702,medium,0.011572350943757496
CHHATTISGARH,KORIYA,43223.0,0.00169047984080399,high,0.00794245081286867
CHHATTISGARH,MAHASAMUND,42774.0,0.001672919156711701,high,0.007859944730112313
CHHATTISGARH,MUNGELI,2216.0,8.666921146661827e-05,low,0.0004072015131137814
CHHATTISGARH,NARAYANPUR,3387.0,0.00013246778846454698,low,0.0006223788469839249
CHHATTISGARH,RAIGARH,67314.0,0.002632694630263512,high,0.012369297226417456
CHHATTISGARH,RAIPUR,224035.0,0.008762155591572124,high,0.041167595212295134
CHHATTISGARH,RAJNANDGAON,73182.0,0.0028621959537680768,high,0.013447572713309004
CHHATTISGARH,SARGUJA,60567.0,0.002368815041019255,high,0.011129500922726713
CHHATTISGARH,SUKMA,416.0,1.6270032477487905e-05,low,7.644216130655824e-05
CHHATTISGARH,SURAJPUR,26627.0,0.001041399410524208,high,0.004892849589206073
CHHATTISGARH,SURGUJA,269.0,5.260383096687797e-05,medium,4.9430147575635014e-05
CHHATTISGARH,TOTAL,1272359.0,0.04976279387746162,high,0.2338025767256037
Chandigarh,CHANDIGARH,10027.0,0.00039216253762445005,low,0.0018425133447616815
Chandigarh,TOTAL,266.0,2.6008585570984275e-05,low,4.887888198928964e-05
Chandigarh,ZZ TOTAL,9761.0,0.0006362651723267606,high,0.001793634462772392
Chhattisgarh,BALOD,2711.0,0.00010602898568862914,low,0.0004981603348607678
Chhattisgarh,BALODA BAZAR,5119.0,0.000200207442914088,low,0.000940642845500653
